companyId,securityId,companyName,stockSymbol
112,314,"SM Prime Holdings, Inc.",SMPH
161,345,"SOCResources, Inc.",SOC
237,466,SPC Power Corporation,SPC
156,223,Seafront Resources Corporation,SPM
688,678,SP New Energy Corporation,SPNEC
479,513,Supercity Realty Development Corporation,SRDC
654,604,"SSI Group, Inc.",SSI
222,376,"STI Education Systems Holdings, Inc.",STI
164,249,Steniel Manufacturing Corporation,STN
147,333,"Vistamalls, Inc.",STR
73,254,"Suntrust Resort Holdings, Inc.",SUN
163,418,TKC Metals Corporation,T
269,511,Transpacific Broadband Group Int`l. Inc.,TBGI
630,569,Cirtek Holdings Philippines Corporation,TECH
6,134,PLDT Inc.,TEL
8,413,PTFC Redevelopment Corporation,TFC
650,595,"Top Frontier Investment Holdings, Inc.",TFHI
706,724,Top Line Business Development Corp.,TOP
644,587,"Harbor Star Shipping Services, Inc.",TUGS
167,115,Union Bank of the Philippines,UBP
22,367,Uniholdings Inc.,UNH
168,334,United Paragon Mining Corporation,UPM
700,695,Upson International Corp.,UPSON
124,167,Universal Robina Corporation,URC
65,135,"Vantage Equities, Inc.",V
28,168,Vitarich Corporation,VITA
661,624,Villar Land Holdings Corp.,VLC
607,530,"Vista Land & Lifescapes, Inc.",VLL
123,415,"Victorias Milling Company, Inc.",VMC
695,690,"VistaREIT, Inc.",VREIT
79,133,Vivant Corporation,VVT
122,136,PhilWeb Corporation,WEB
90,229,"Wellex Industries, Incorporated",WIN
665,632,"Wilcon Depot, Inc.",WLCON
173,228,"Waterfront Philippines, Incorporated",WPI
656,607,Xurpas Inc.,X
705,717,NexGen Energy Corp.,XG
89,232,"Zeus Holdings, Inc.",ZHI
